event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,height-raw,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
369424998,true,2009-04-18 19:00:00.000,-10.20217,54.131,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424999,true,2009-04-18 21:00:00.000,-10.20617,54.137,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369425000,true,2009-04-18 23:00:00.000,-10.20117,54.14583,,"2D fix","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369425001,true,2009-04-19 03:00:00.000,-10.019,55.17933,,"37","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369425002,true,2009-04-19 05:00:00.000,-9.89467,56.7055,,"22","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369425003,true,2009-04-19 07:00:00.000,-10.561,58.1075,,"33","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369425004,true,2009-04-19 09:00:00.000,-11.62017,59.67667,,"11","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369425005,true,2009-04-19 11:00:00.000,-12.9535,60.7235,,"35","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369425006,true,2009-04-19 13:00:00.000,-14.21333,62.40233,,"33","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369425007,true,2009-04-19 15:00:00.000,-16.98467,63.7135,,"15","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
